tiss	pid	median_psi	mean_psi	sd_psi	exon_id
Adipose_Subcutaneous	chr1_1486110_1486235_+	1	0.8481736488812393	0.21109047914817838	ENSG00000160072.19_10
Adipose_Subcutaneous	chr1_11744533_11744568_+	0	0.024249500860585197	0.04559492144578146	ENSG00000177674.15_2
Adipose_Subcutaneous	chr1_19257454_19257521_+	1	0.9828818416523236	0.03264627289624747	ENSG00000053372.4_5
Adipose_Subcutaneous	chr1_20892619_20892729_-	0.21067	0.21176320689655173	0.07625838455937017	ENSG00000075151.20_27
Adipose_Subcutaneous	chr1_22654008_22654160_+	0.01353	0.015230998278829604	0.01492476621552003	ENSG00000173369.15_3
Adipose_Subcutaneous	chr1_24793177_24793213_+	0	0.0029158003442340793	0.006293426887448129	ENSG00000169504.14_2
Adipose_Subcutaneous	chr1_27881971_27883043_+	0.84127	0.8303049026548672	0.14983431992424998	ENSG00000130775.15_4
Adipose_Subcutaneous	chr1_28683564_28683740_+	0.57261	0.659320308988764	0.3445425255719675	ENSG00000162419.12_2
Adipose_Subcutaneous	chr1_32369230_32369338_-	0.0129	0.015556247848537005	0.016117142673751184	ENSG00000160058.18_11
Adipose_Subcutaneous	chr1_43612768_43612800_+	0.18382	0.20378752151462995	0.10065927399101507	ENSG00000142949.16_28
Adipose_Subcutaneous	chr1_43824731_43824892_+	0.03093	0.03797476764199656	0.04074195420239927	ENSG00000126091.19_8
Adipose_Subcutaneous	chr1_46285005_46286499_-	1	0.9878346987951807	0.031186118355057767	ENSG00000132128.16_4
Adipose_Subcutaneous	chr1_66928887_66928963_+	0.3	0.30841898089171976	0.21230634955549	ENSG00000198160.14_3
Adipose_Subcutaneous	chr1_76576846_76577209_+	0.14286	0.1573334349593496	0.14335974468205967	ENSG00000184005.10_5
Adipose_Subcutaneous	chr1_78004854_78005321_+	0.7971	0.8038014335060449	0.1392477946021937	ENSG00000162616.8_5
Adipose_Subcutaneous	chr1_86742208_86742436_+	0.99	0.9888237177280551	0.011513709921422718	ENSG00000097033.14_10
Adipose_Subcutaneous	chr1_91698089_91698130_-	1	0.9905147848537005	0.014022822290706524	ENSG00000069702.10_25
Adipose_Subcutaneous	chr1_93120549_93120672_+	0.72414	0.7271803218390804	0.27198785765691713	ENSG00000143033.17_10
Adipose_Subcutaneous	chr1_94540572_94541066_-	0.37888	0.3911076592082616	0.12049086182274202	ENSG00000117525.13_2
Adipose_Subcutaneous	chr1_111139501_111139626_-	1	0.7369803270223753	0.32123071690747895	ENSG00000156171.14_2
Adipose_Subcutaneous	chr1_144245027_144245315_-	0.18935	0.2308436614853195	0.1567798723103729	ENSG00000232527.7_3
Adipose_Subcutaneous	chr1_148124899_148125001_-	0.68182	0.6765546643717728	0.11638050288378199	ENSG00000263956.6_8
Adipose_Subcutaneous	chr1_148966839_148966976_+	1	0.9305560413080896	0.15733291942782046	ENSG00000178104.19_22
Adipose_Subcutaneous	chr1_151142504_151142675_-	0.82979	0.836772677029361	0.13373040044314047	ENSG00000143434.15_3
Adipose_Subcutaneous	chr1_171114007_171114362_+	1	0.9569265576592083	0.07266345871153508	ENSG00000007933.12_9
Adipose_Subcutaneous	chr1_171185524_171185845_+	0.89831	0.8844196020761246	0.10531552586010162	ENSG00000094963.13_2
Adipose_Subcutaneous	chr1_208031042_208031338_-	0	0.028026327586206896	0.03827409627581235	ENSG00000076356.6_31
Adipose_Subcutaneous	chr1_211291524_211291599_+	0	0.023207297762478485	0.03487975948631604	ENSG00000117625.13_13
